Dr. R Parameshwaran.png,Dr. R. Parameshwaran,Professor & Principal,https://docs.google.com/document/u/2/d/e/2PACX-1vTe3K-ddwT5IklzhB0e-tc5tqOhlwkGBJNWmRPVZDNFcd0-IeEeUkjK83plS6k8nA/pub
Dr. P C Murugan.jpg,Dr. P. C. Murugan,Associate Professor & Head,https://sites.google.com/a/kongu.edu/murugan-p-c-mechanical/
Dr. C Jegadheesan.jpeg,Dr.C.Jegadheesan, Professor,https://sites.google.com/a/kongu.edu/dr-c-jegadheesan/
Dr. K S Karthi Vinith.jpeg,Dr.K.S.Karthi Vinith,Assistant Professor (SLG),https://sites.google.com/a/kongu.edu/karthi-vinith-k-s-auto/
Mr.P.Senthil kumar.JPG,P.Senthil Kumar,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/senthilkumar-auto/
Mr. K Nithyanandhan.jpg,K. Nithyanandhan,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/nithyanandhan-k_auto/
Mr. G Manikandan.jpg,G.Manikandan,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/manikandan-g/
Dr. M Boopathi.jpeg,Dr.M.Boopathi,Assistant Professor (SRG),https://sites.google.com/kongu.edu/boopathi-m/home
Mr. T Karthi.jpg,T.Karthi,Assistant Professor,https://docs.google.com/document/d/13d2xRjG_P0EsLwx5oEv85yUF01EZjn6k-HQG-gJxcFM/edit?usp=sharing
sudhirkumar.jpg,V. Sudhir Kumar,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vS9yNupAJII_yaYZBdFqGWabZKwLfrat6ewmK5J-72wkwZyOQDE1lmlLxbmUdimoA/pub
mahendiran.jpg,T. Mahendran,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vSg1KV7BdTJ6PlrISr79GxbgWzzRUEI3OCCDl7AO611dn8J3W65pOZSO0-q4AjxTw/pub
gowtham.png,R. Gowtham,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vT8s8PMhtNqYmcWgSfSw6kYZfdN9cPjDub2PhEzwJb7bVYjbAsElRr-gIHXkpafUl2p7AydanMFGTjx/pub
